page_id,page_namespace,page_title,page_is_redirect,page_is_new,page_random,page_touched,page_links_updated,page_latest,page_len,page_content_model,page_lang
142820,0,Living,0,0,0.816346748009,bytearray(b'20230715025610'),bytearray(b'20230715025733'),3169785,13228,bytearray(b'wikitext'),
173893,1,Living,0,0,0.790666902527,bytearray(b'20210313195935'),bytearray(b'20210313195935'),2938959,441,bytearray(b'wikitext'),
24599,1,Logic,0,0,0.624113119667,bytearray(b'20230223031648'),bytearray(b'20230223031648'),1526726,3089,bytearray(b'wikitext'),
1685,0,Logic,0,0,0.507376878759,bytearray(b'20231230190848'),bytearray(b'20231230190945'),3405782,34543,bytearray(b'wikitext'),
179742,14,Logic,0,0,0.706343306031,bytearray(b'20231118140203'),bytearray(b'20231118140207'),2006677,158,bytearray(b'wikitext'),
262532,14,London,0,1,0.076240752508,bytearray(b'20231106111658'),bytearray(b'20231022055949'),3384551,54,bytearray(b'wikitext'),
10931,1,London,0,0,0.725763908886,bytearray(b'20230223010132'),bytearray(b'20230223010132'),989312,512,bytearray(b'wikitext'),
126488,0,London,0,0,0.886773595195,bytearray(b'20231230070122'),bytearray(b'20231230070122'),3433285,34433,bytearray(b'wikitext'),
148148,1,Lord_Byron,0,0,0.019845578248,bytearray(b'20230711181847'),bytearray(b'20230711181846'),2651913,738,bytearray(b'wikitext'),
424,0,Lord_Byron,0,0,0.162482600735,bytearray(b'20231209230007'),bytearray(b'20231209230007'),3415240,51846,bytearray(b'wikitext'),
248583,0,Louis_de_Bonald,0,0,0.204700787493,bytearray(b'20231011202636'),bytearray(b'20231011202653'),3140981,2391,bytearray(b'wikitext'),
126489,0,Love,0,0,0.240495243056,bytearray(b'20231228220910'),bytearray(b'20231228220942'),3426854,615222,bytearray(b'wikitext'),
129933,14,Love,0,0,0.295531724999,bytearray(b'20231205121016'),bytearray(b'20231205121532'),2681505,130,bytearray(b'wikitext'),
2904,1,Love,0,0,0.448454361152,bytearray(b'20230519174555'),bytearray(b'20220903005901'),2699238,18419,bytearray(b'wikitext'),
16301,0,Loyalty,0,0,0.537055581504,bytearray(b'20230917082343'),bytearray(b'20230917082508'),3195421,11640,bytearray(b'wikitext'),
124747,1,Loyalty,0,1,0.109772979088,bytearray(b'20230226150854'),bytearray(b'20230226150853'),1258613,593,bytearray(b'wikitext'),
